Date,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Folate (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Added Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2024-03-21,998.43,0.00,0.00,200.50,1.96,2.99,23.25,2.67,0.68,1.67,273.24,587.78,10.27,130.50,2.57,1.09,188.96,0.20,7.15,106.10,0.63,347.33,716.90,50.64,1167.51,2.25,107.53,31.80,6.92,43.56,1.37,77.67,38.70,589.50,11.11,3.78,12.87,0.00,0.16,3.60,0.49,0.65,1.21,2.00,1.57,0.64,1.30,47.90,1.07,0.28,0.95,1.39,false
2024-03-22,1366.84,0.00,0.00,294.42,2.38,3.45,25.64,3.41,0.79,2.24,372.22,649.31,10.39,175.43,3.76,23.49,539.39,0.21,10.19,101.37,0.72,566.49,827.57,81.44,2951.97,3.06,183.74,40.03,44.45,57.84,4.10,143.68,42.26,646.16,12.59,11.03,10.77,0.19,1.14,9.73,0.71,0.97,1.81,2.92,2.41,0.99,1.80,65.08,1.55,0.43,1.35,2.00,false
2024-03-23,1138.93,0.00,0.00,373.02,2.27,3.27,30.74,3.55,1.54,3.69,330.23,591.78,110.27,131.50,2.04,2.94,212.70,0.28,10.47,80.82,1.11,621.90,1050.74,86.43,1059.76,11.07,124.14,28.61,42.69,34.16,0.00,97.48,33.24,666.50,8.21,2.63,12.83,0.21,0.18,2.35,0.85,1.79,2.68,4.71,4.53,1.53,2.53,74.31,2.55,0.64,2.07,3.01,false
2024-03-24,1304.74,0.00,0.00,323.60,0.75,1.02,9.91,7.31,2.29,2.36,157.23,234.82,713.27,141.38,2.03,1.04,103.74,0.29,4.60,85.66,1.12,600.22,986.10,91.68,2747.12,8.48,163.05,19.27,42.69,59.27,0.58,143.72,43.29,624.52,17.62,6.92,14.64,0.09,0.32,5.59,0.78,1.53,2.28,3.84,3.51,1.30,2.20,65.52,2.05,0.55,1.79,2.57,false
2024-03-25,1276.31,0.00,70.00,341.45,2.26,3.17,35.19,4.28,1.00,2.17,310.84,607.03,100.00,137.62,2.04,3.92,219.19,0.26,10.33,98.23,0.88,612.68,627.58,89.52,1344.17,9.61,117.23,23.39,37.89,25.77,0.04,95.78,43.32,716.37,10.93,5.17,14.90,0.36,0.33,4.30,1.06,1.84,3.41,5.09,5.04,1.84,2.88,88.99,2.81,0.77,2.32,3.47,false
2024-03-26,1933.82,0.00,0.00,263.43,4.57,3.31,34.72,5.19,0.67,3.03,363.46,679.37,107.12,156.90,4.85,14.66,424.44,0.33,10.61,92.38,1.10,844.06,920.32,125.51,4166.64,8.72,185.50,40.97,56.40,40.44,5.92,144.52,84.77,682.70,27.27,15.18,22.41,0.02,1.75,14.57,1.00,1.62,2.78,4.56,3.90,1.45,2.61,105.01,2.47,0.76,1.76,3.04,false
2024-03-27,1702.94,0.00,70.00,436.90,2.67,2.94,26.69,3.95,0.62,1.67,436.88,1033.82,109.52,130.50,1.73,0.45,263.20,0.35,13.68,100.00,2.28,461.83,354.90,81.75,3041.85,7.90,221.50,29.33,109.02,33.72,0.00,194.08,46.82,702.39,6.53,2.48,16.80,0.00,0.17,2.26,0.70,0.75,1.58,2.66,1.82,0.89,1.68,84.17,1.36,0.38,1.20,1.93,false
2024-03-28,1055.02,0.00,0.00,411.20,1.14,0.31,11.07,2.37,0.72,0.35,204.01,10.21,0.00,12.29,0.44,0.00,55.35,0.44,7.55,77.29,2.26,463.51,524.59,80.91,1954.10,4.58,136.93,1.61,109.02,1.25,0.00,135.23,30.35,81.70,1.33,0.67,9.14,0.01,0.07,0.57,0.50,1.22,1.50,2.75,2.25,0.80,1.53,54.70,1.40,0.35,1.11,1.85,false
2024-03-29,1129.07,,,500.12,3.60,4.22,39.20,,,,336.00,1214.34,171.19,,,,859.12,,7.67,,,,,,1501.59,4.00,193.56,38.64,,126.91,,154.92,19.49,33.43,,,6.07,0.00,1.21,,,,,,,,,49.95,,,,,false
2024-03-30,1463.72,,,155.00,1.80,2.21,19.60,,,,168.00,360.00,100.00,,1.50,,100.00,,6.00,58.00,,,,,2423.60,4.00,166.92,25.06,,57.04,,141.86,59.09,40.66,1.39,0.68,19.83,0.00,1.80,,,,,,,,,56.30,,,,,false
2024-03-31,1271.60,,,,1.80,2.11,19.60,,,,168.00,360.00,0.00,,,,155.00,,6.93,56.24,,,,,2509.87,,149.40,31.39,,45.56,,120.01,46.94,64.66,1.39,0.68,20.80,0.00,1.80,,,,,,,,,54.06,,,,,false
2024-04-01,1580.91,0.00,0.00,501.41,2.67,3.40,49.53,5.83,1.65,2.39,331.96,594.80,100.00,141.75,2.78,3.73,240.06,0.49,11.14,168.24,2.80,966.45,963.27,117.21,1192.86,12.04,148.86,28.77,86.42,20.21,0.00,121.99,49.55,786.00,13.92,7.36,16.85,0.41,0.52,6.63,1.44,2.75,4.95,7.40,7.38,2.65,4.14,115.35,4.07,1.12,3.36,5.02,false
2024-04-02,1066.99,0.00,0.00,220.07,2.16,2.90,22.03,2.71,0.33,1.67,301.63,584.00,100.00,130.50,1.61,0.45,190.80,0.13,7.28,33.96,0.78,325.94,244.30,58.05,2818.65,6.35,102.38,18.54,36.34,21.85,0.00,83.80,44.51,622.49,6.25,2.24,16.08,0.00,1.92,2.07,0.52,0.55,1.21,1.96,1.51,0.69,1.23,64.49,1.06,0.28,0.91,1.41,false
2024-04-03,1460.48,0.00,0.00,288.72,5.57,7.27,60.47,2.89,1.05,1.67,617.20,1311.57,120.53,130.50,1.85,1.63,386.80,0.20,14.36,106.84,0.68,309.92,1033.88,48.56,1608.00,5.93,218.82,69.85,12.70,88.30,0.00,149.27,35.12,589.50,6.19,2.29,11.65,0.00,0.17,2.08,0.46,0.63,1.10,1.77,1.47,0.61,1.12,61.32,0.97,0.25,0.79,1.26,false
2024-04-04,1200.59,0.00,0.00,464.18,0.42,0.92,3.38,3.22,0.84,1.67,162.69,232.71,118.64,130.50,2.14,5.04,107.62,0.27,5.37,103.04,1.17,371.92,861.48,59.23,2705.29,6.60,141.70,15.69,42.78,48.95,0.00,124.49,45.63,622.49,6.31,2.42,16.75,0.00,1.97,2.20,0.54,0.65,1.26,2.07,1.59,0.70,1.30,62.13,1.10,0.29,0.92,1.49,false
2024-04-05,1476.63,0.00,0.00,673.40,0.56,1.28,17.32,5.18,1.94,2.17,195.50,259.53,128.90,137.62,2.73,9.11,141.91,0.49,6.40,142.93,1.58,684.62,1667.20,91.88,2214.71,10.04,174.06,32.88,50.68,62.28,0.04,139.95,39.98,716.37,11.02,5.44,14.73,0.36,0.41,4.49,1.08,2.03,3.48,5.27,5.18,1.86,3.01,96.96,2.89,0.79,2.34,3.61,false
2024-04-06,965.37,0.00,0.00,340.89,0.46,1.06,15.59,4.28,1.00,2.17,142.84,247.03,100.00,137.62,2.04,3.92,119.19,0.26,5.56,70.11,0.88,612.68,627.58,89.52,1250.53,9.61,59.12,5.68,37.89,4.01,0.04,53.38,42.90,706.37,10.93,5.17,14.42,0.36,1.53,4.30,1.06,1.84,3.41,5.09,5.04,1.84,2.88,78.82,2.81,0.77,2.32,3.47,false
2024-04-07,412.50,0.00,0.00,111.93,0.10,0.77,0.10,2.10,0.18,1.67,66.00,224.00,100.00,130.50,1.55,0.45,75.00,0.02,1.79,15.00,0.04,258.00,189.00,46.20,706.00,5.58,1.68,2.00,0.00,1.68,0.00,0.00,25.92,589.50,6.12,2.12,10.90,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,30.87,0.91,0.23,0.77,1.15,false
2024-04-08,1027.06,0.00,0.00,444.44,0.20,0.99,1.83,3.00,1.12,1.67,118.66,236.50,28.90,130.50,2.23,5.63,97.72,0.25,4.94,144.06,0.74,329.94,1228.62,48.56,1195.45,2.00,140.20,20.93,12.79,66.97,0.00,117.76,35.85,579.50,6.20,2.39,12.19,0.00,1.38,2.16,0.46,0.64,1.11,1.80,1.50,0.61,1.13,43.67,0.98,0.25,0.79,1.28,false
2024-04-09,1609.54,0.00,70.00,569.08,1.60,2.48,35.73,4.61,3.25,5.24,182.47,750.88,25.95,344.21,5.43,9.00,543.03,0.55,5.18,179.97,0.81,1104.45,1590.43,129.40,3024.51,5.98,127.09,19.16,19.20,65.68,0.00,106.71,69.70,975.40,16.79,5.35,37.17,1.45,0.69,4.13,1.21,2.26,4.08,6.45,6.64,2.26,3.57,106.61,3.42,0.94,2.86,4.15,false
2024-04-10,1955.94,0.00,70.00,857.77,2.36,2.59,40.30,6.50,3.27,5.30,368.96,623.04,117.16,343.28,5.13,10.20,570.97,0.87,10.49,212.93,2.86,1308.79,1476.83,165.93,2626.59,13.92,216.47,9.19,124.34,47.34,0.04,205.67,64.80,946.27,15.81,6.78,27.22,1.05,1.95,5.19,1.52,2.61,4.82,7.76,7.42,2.67,4.37,120.29,4.03,1.13,3.42,5.10,false
2024-04-11,1574.79,0.00,70.00,489.02,1.60,2.51,36.23,4.83,3.55,5.24,197.21,749.19,26.36,344.21,5.18,5.50,537.16,0.58,5.22,198.14,1.02,1106.65,1757.27,130.41,2993.70,6.06,118.02,12.42,24.54,57.12,0.00,105.85,69.72,975.40,16.81,5.33,37.23,1.45,0.70,4.10,1.22,2.32,4.09,6.50,6.67,2.26,3.60,107.24,3.44,0.95,2.87,4.18,false
2024-04-12,1524.73,0.00,70.00,489.02,1.60,2.51,36.23,4.83,3.55,5.24,197.21,749.19,26.36,344.21,5.18,5.50,537.16,0.58,6.39,226.26,1.02,1106.65,1757.27,130.41,2581.33,6.06,142.26,13.13,24.54,64.88,0.00,129.04,62.15,945.40,16.81,5.33,31.72,1.45,0.70,4.10,1.22,2.32,4.09,6.50,6.67,2.26,3.60,99.12,3.44,0.95,2.87,4.18,false
2024-04-13,3082.46,0.00,0.00,416.08,1.77,2.72,39.90,5.58,3.49,5.57,243.27,867.36,17.57,351.58,16.60,9.40,852.47,1.01,10.99,449.00,2.85,2107.87,2135.63,163.17,6220.48,12.91,287.54,54.62,120.89,59.04,0.00,232.64,153.47,975.66,41.88,51.26,47.84,2.01,1.69,48.67,1.65,3.10,5.24,9.78,7.57,2.89,4.99,142.14,4.57,1.27,4.11,5.70,false
2024-04-14,1935.34,0.00,0.00,871.07,2.84,2.57,40.35,3.96,3.84,4.51,111.80,528.11,17.57,538.56,2.60,3.22,466.90,0.24,6.47,159.46,0.60,783.44,1213.36,77.70,2260.86,10.67,216.99,18.03,10.87,113.59,0.00,199.23,72.53,745.16,13.62,4.73,40.04,0.76,0.34,3.48,0.93,1.76,3.05,4.55,4.62,1.63,2.58,91.91,2.54,0.68,2.05,3.10,false
2024-04-15,1273.96,0.00,0.00,394.74,1.08,1.82,13.70,3.65,1.35,4.62,150.60,449.39,12.17,297.60,2.78,21.34,389.32,0.30,7.60,94.21,1.15,714.76,835.56,84.07,1182.06,7.82,74.73,7.42,37.41,15.99,0.00,67.22,78.37,712.24,21.91,7.57,31.29,1.63,2.06,6.11,0.76,1.25,2.22,3.69,3.19,1.24,2.11,63.77,2.01,0.57,1.69,2.51,false
2024-04-16,923.82,0.00,70.00,441.75,1.77,0.95,19.24,1.53,1.29,1.58,278.08,627.58,110.29,101.20,0.49,4.60,266.82,0.25,6.68,90.71,1.74,396.49,412.47,43.42,490.63,7.70,165.33,14.67,108.74,13.44,0.00,150.59,11.68,119.02,4.27,1.09,4.17,0.44,0.13,0.78,0.41,0.73,1.06,2.26,1.43,0.61,1.16,32.50,0.95,0.23,0.78,1.32,false
2024-04-17,1294.79,0.00,70.00,575.61,2.83,3.90,44.03,4.17,1.98,2.93,265.37,738.20,133.89,239.53,2.72,12.30,416.04,0.62,11.77,176.27,0.74,908.68,1888.96,84.31,659.72,10.14,153.88,38.27,26.08,50.08,0.00,110.41,37.95,700.27,12.37,5.26,11.44,0.41,0.31,4.64,1.10,1.93,3.58,5.30,5.47,1.91,3.01,86.02,3.00,0.82,2.43,3.66,false
2024-04-18,1264.79,0.00,70.00,575.61,2.83,3.90,44.03,4.17,1.98,2.93,265.37,738.20,133.89,239.53,2.72,12.30,416.04,0.62,11.77,176.27,0.74,908.68,1888.96,84.31,629.72,10.14,146.88,33.27,26.08,48.08,0.00,108.41,37.95,700.27,12.37,5.26,11.44,0.41,0.31,4.64,1.10,1.93,3.58,5.30,5.47,1.91,3.01,86.02,3.00,0.82,2.43,3.66,false
2024-04-19,1294.79,0.00,70.00,575.61,2.83,3.90,44.03,4.17,1.98,2.93,265.37,738.20,133.89,239.53,2.72,12.30,416.04,0.62,11.77,176.27,0.74,908.68,1888.96,84.31,659.72,10.14,153.88,38.27,26.08,50.08,0.00,110.41,37.95,700.27,12.37,5.26,11.44,0.41,0.31,4.64,1.10,1.93,3.58,5.30,5.47,1.91,3.01,86.02,3.00,0.82,2.43,3.66,false
2024-04-20,1407.79,0.00,70.00,575.61,3.73,4.95,53.83,4.17,1.98,2.93,349.37,918.20,133.89,239.53,2.72,12.30,466.04,0.62,13.57,176.27,0.74,908.68,1888.96,84.31,786.72,10.14,175.88,47.27,26.08,58.08,0.00,123.41,38.95,700.27,12.37,5.26,11.44,0.41,0.31,4.64,1.10,1.93,3.58,5.30,5.47,1.91,3.01,90.02,3.00,0.82,2.43,3.66,false
2024-04-21,1407.79,0.00,70.00,575.61,3.73,4.95,53.83,4.17,1.98,2.93,349.37,918.20,133.89,239.53,2.72,12.30,466.04,0.62,13.57,176.27,0.74,908.68,1888.96,84.31,786.72,10.14,175.88,47.27,26.08,58.08,0.00,123.41,38.95,700.27,12.37,5.26,11.44,0.41,0.31,4.64,1.10,1.93,3.58,5.30,5.47,1.91,3.01,90.02,3.00,0.82,2.43,3.66,false
2024-04-22,1255.41,0.00,70.00,440.86,2.85,3.90,46.59,4.47,2.14,2.99,252.64,742.82,130.00,240.99,2.34,2.51,409.64,0.53,12.45,181.59,0.78,965.14,1956.14,90.60,678.52,10.59,127.80,32.20,32.60,28.14,0.00,95.53,39.84,722.17,13.03,5.53,12.01,0.46,0.34,4.84,1.21,2.19,4.00,5.89,6.15,2.13,3.33,93.99,3.34,0.92,2.72,4.06,false
2024-04-23,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-04-24,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
2024-04-25,633.50,0.00,70.00,112.49,2.60,3.53,27.70,2.10,0.83,2.57,234.00,659.00,0.00,230.50,1.55,0.45,330.00,0.02,6.48,62.50,0.04,459.50,189.00,46.20,509.00,2.63,76.05,21.20,0.00,23.69,0.00,54.84,20.92,562.00,6.12,2.12,5.40,0.00,0.10,1.97,0.44,0.45,1.03,1.61,1.36,0.59,1.00,35.17,0.91,0.23,0.77,1.15,false
